,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
0,A 35 4MATIC Edition 1 (15),338〜518万円,750.0,1991cc,5,4WD,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=49531/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 35 4MATIC Edition 1,AMG
1,A 45 S 4MATIC+ Edition 1 (11),399〜703万円,807.0,1991cc,5,4WD,−,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=50150/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 45 S 4MATIC+ Edition 1,AMG
2,A 45 S 4MATIC+ (38),478〜918万円,940.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=50149/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 45 S 4MATIC+,AMG
3,A 45 S 4MATIC+ Edition 55 (1),950.0万円,1055.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=60935/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 45 S 4MATIC+ Edition 55,AMG
4,A 45 S 4MATIC+ Street Style Edition (3),933〜1008万円,1085.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=64047/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 45 S 4MATIC+ Street Style Edition,AMG
5,A 45 S 4MATIC+ Final Edition (7),1033〜1236万円,1150.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=66417/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 45 S 4MATIC+ Final Edition,AMG
6,A 35 4MATIC (20),309〜762万円,776.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=49530/,"Aクラス 2019年モデル
                                        (95)",Aクラス,2019年モデル,A 35 4MATIC,AMG
7,A45 AMG 4MATIC (16),191〜310万円,685.0,1991cc,5,4WD,−,13.1km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=27464/,"Aクラス 2013年モデル
                                        (63)",Aクラス,2013年モデル,A45 AMG 4MATIC,AMG
8,A45 4MATIC Edition (11),177〜303万円,710.0,1991cc,5,4WD,7DCT,13.1km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=27465/,"Aクラス 2013年モデル
                                        (63)",Aクラス,2013年モデル,A45 4MATIC Edition,AMG
9,A45 4MATIC (33),199〜381万円,720.0,1991cc,5,4WD,−,12.6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=33631/,"Aクラス 2013年モデル
                                        (63)",Aクラス,2013年モデル,A45 4MATIC,AMG
10,C43 4MATIC (15),555〜1024万円,1300.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=60867/,"Cクラスステーションワゴン 2022年モデル
                                        (41)",Cクラスステーションワゴン,2022年モデル,C43 4MATIC,AMG
