グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
A 35 4MATIC Edition 1 (12),345〜512万円,750.0,1991cc,5,4WD,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=49531/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 35 4MATIC Edition 1,AMG
A 45 S 4MATIC+ Edition 1 (10),448〜698万円,807.0,1991cc,5,4WD,−,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=50150/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 45 S 4MATIC+ Edition 1,AMG
A 45 S 4MATIC+ (36),462〜867万円,952.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=50149/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 45 S 4MATIC+,AMG
A 45 S 4MATIC+ Edition 55 (3),738〜778万円,1055.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=60935/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 45 S 4MATIC+ Edition 55,AMG
A 45 S 4MATIC+ Street Style Edition (1),1008万円,1085.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=64047/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 45 S 4MATIC+ Street Style Edition,AMG
A 45 S 4MATIC+ Final Edition (7),1003〜1064万円,1150.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=66417/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 45 S 4MATIC+ Final Edition,AMG
A 35 4MATIC (18),305〜746万円,776.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=42285/UCGrade=49530/,"Aクラス 2019年モデル
                                        (90)",Aクラス,2019年モデル,A 35 4MATIC,AMG
A45 AMG 4MATIC (12),188〜349万円,685.0,1991cc,5,4WD,−,13km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=27464/,"Aクラス 2013年モデル
                                        (50)",Aクラス,2013年モデル,A45 AMG 4MATIC,AMG
A45 4MATIC Edition (9),176〜308万円,710.0,1991cc,5,4WD,7DCT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=27465/,"Aクラス 2013年モデル
                                        (50)",Aクラス,2013年モデル,A45 4MATIC Edition,AMG
A45 4MATIC (27),178〜364万円,720.0,1991cc,5,4WD,−,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31910/Generation=41701/UCGrade=33631/,"Aクラス 2013年モデル
                                        (50)",Aクラス,2013年モデル,A45 4MATIC,AMG
C43 4MATIC (26),568〜977万円,1300.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=60867/,"Cクラスステーションワゴン 2022年モデル
                                        (39)",Cクラスステーションワゴン,2022年モデル,C43 4MATIC,AMG
C43 4MATIC (左ハンドル) (3),760〜853万円,1300.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=60868/,"Cクラスステーションワゴン 2022年モデル
                                        (39)",Cクラスステーションワゴン,2022年モデル,C43 4MATIC (左ハンドル),AMG
C63 S E PERFORMANCE (10),1044〜1460万円,1754.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=42546/UCGrade=64272/,"Cクラスステーションワゴン 2022年モデル
                                        (39)",Cクラスステーションワゴン,2022年モデル,C63 S E PERFORMANCE,AMG
C450 AMG 4MATIC STATIONWAGON (1),368.8万円,962.0,2996cc,5,4WD,7AT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=33098/,"Cクラスステーションワゴン 2015年モデル
                                        (33)",Cクラスステーションワゴン,2015年モデル,C450 AMG 4MATIC STATIONWAGON,AMG
C43 4MATIC STATIONWAGON (12),254〜699万円,1014.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=35529/,"Cクラスステーションワゴン 2015年モデル
                                        (33)",Cクラスステーションワゴン,2015年モデル,C43 4MATIC STATIONWAGON,AMG
C43 4MATIC STATIONWAGON (左ハンドル) (6),318〜399万円,1014.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=35530/,"Cクラスステーションワゴン 2015年モデル
                                        (33)",Cクラスステーションワゴン,2015年モデル,C43 4MATIC STATIONWAGON (左ハンドル),AMG
C63 STATIONWAGON (4),382〜799万円,1304.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=32225/,"Cクラスステーションワゴン 2015年モデル
                                        (33)",Cクラスステーションワゴン,2015年モデル,C63 STATIONWAGON,AMG
C63 S STATIONWAGON Edition1 (2),525〜600万円,1465.0,3982cc,5,FR,7AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=33097/,"Cクラスステーションワゴン 2015年モデル
                                        (33)",Cクラスステーションワゴン,2015年モデル,C63 S STATIONWAGON Edition1,AMG
C63 S STATIONWAGON (8),339〜622万円,1475.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=41894/UCGrade=32226/,"Cクラスステーションワゴン 2015年モデル
                                        (33)",Cクラスステーションワゴン,2015年モデル,C63 S STATIONWAGON,AMG
