車名,詳細URL,グレード・装備,支払総額(万円),車両本体価格(万円),年式,走行距離,車検,修復歴,保証,整備,排気量,ミッション,ボディタイプ,色
M3セダン コンペティション M DCT ドライブロジック OP258　ドライカーボンエアロ　後期LCIモデル　カーボンインテリアトリム　20インチM鍛造ホイール　harmna/kardonサラウンドサウンドシステム,https://www.carsensor.net/usedcar/detail/AU6623703504/index.html,,787,778,2018(H30),1万km,2027(R09)年08月,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン コンペティション インディビジュアルカラー M DCT ドライブロジック 特別限定4台 専用ボディカラー 専用メリノレザーインテリア harman/kardonサウンド カーボンインテリアトリム 低ダストブレーキパッド,https://www.carsensor.net/usedcar/detail/AU6567194987/index.html,,780,760,2018(H30),1.5万km,車検整備付,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,深緑
M3セダン M DCT ドライブロジック ワンオーナー　フルノーマル　2019年式　最終型　禁煙車　ディーラー車　カーボンルーフ　純正19インチアルミホイール　ドライブレコーダー　ETC　バックカメラ　障害物センサー　スペアキー　記録簿　取説,https://www.carsensor.net/usedcar/detail/AU6660756074/index.html,,649,640,2019(H31),3.1万km,2026(R08)年04月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,黒Ｍ
M3セダン M DCT ドライブロジック 認定中古車 1年保証　カーボンルーフ　禁煙車,https://www.carsensor.net/usedcar/detail/AU6649158664/index.html,認定中古車　１年保証付　禁煙車　カーボンルーフ認定中古車　１年保証付　禁煙車　カーボンルーフ　純正ナビ　バックカメラ　ビルトインＥＴＣ,650,630,2017(H29),3.7万km,2026(R08)年11月,なし,保証付,法定整備付,3000CC,フロア7AT,セダン,白
M3セダン M DCT ドライブロジック アラゴスタ3WAY　NEOVA新品　TE37サンビームオリジナルホワイト　CSボンネット　APフロント6ポッド　Mパフォーマンスフルチタンマフラー　運転席助手席RECARO RMS　M2レーシングGTウィング,https://www.carsensor.net/usedcar/detail/AU6615742602/index.html,,648,628,2016(H28),6.7万km,2025(R07)年12月,なし,保証無,法定整備付,3000CC,フロア7AT,セダン,白
M3セダン M DCT ドライブロジック HRE20インチ　ブレンボ前後　KWクラブスポーツ車高調　サンルーフ　アーキュレー輸出用マフラー　コーレンストッフスポイラー　ディフューザー,https://www.carsensor.net/usedcar/detail/AU6698153493/index.html,,598,589,2017(H29),8.7万km,2026(R08)年04月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン コンペティション M DCT ドライブロジック 後期　バルブコントローラー　コンペティション専用装備　カーボンルーフ　カーボンインテリア　ハーマンカードンサウンド　ヘッドアップディスプレイ　ドラレコ　ディーラー整備記録簿　地デジTV　スペアキー,https://www.carsensor.net/usedcar/detail/AU6587140945/index.html,,592,582,2017(H29),4.6万km,2026(R08)年12月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,青
M3セダン M DCT ドライブロジック 後期　ワンオーナー　禁煙車　OP19AW　パーキングサポートパッケージ　カーボンインテリア　カーボンルーフ　ハーマンカードンサウンド　ヘッドアップディスプレイ　ディーラー整備記録簿　地デジTV　スペアキー,https://www.carsensor.net/usedcar/detail/AU6578725900/index.html,,590,580,2017(H29),3.3万km,2026(R08)年09月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,
M3セダン M DCT ドライブロジック コンペティションパッケージ装着車 カーボンルーフ　カーボントリム　LEDライト　20AW　スマートキー　黒革　フルセグ　ヘッドアップディスプレイ　ハーマンカードン　車線逸脱警告　クルコン　禁煙車,https://www.carsensor.net/usedcar/detail/AU6689093204/index.html,◇BMW Premium Selection◇認定中古車◇全国1年保証付き◇◆ボディコーティング＆フイルム＆板金塗装等は、自社工場を完備しております◆,587,568,2016(H28),2.2万km,車検整備付,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン コンペティション M DCT ドライブロジック 後期　インディビジュアルカラー　フローズンホワイト　フルレザーメリノ　コンペティション専用装備　ブラックフロントグリル　ハーマンカードン　ディーラー整備記録簿　地デジTV　ドラレコ　スペアキー有,https://www.carsensor.net/usedcar/detail/AU6353433944/index.html,,585,565,2018(H30),6万km,車検整備付,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
